Angle (deg)	0
Gate  No.	Time [ms]	Counts
0	20	1720
1	40	1750
2	60	1780
3	80	1709
4	100	1728
5	120	1788
6	140	1795
7	160	1777
8	180	1780
9	200	1723
10	220	1715
11	240	1681
12	260	1794
13	280	1728
14	300	1732
15	320	1704
16	340	1758
17	360	1699
18	380	1744
19	400	1766
20	420	1691
21	440	1732
22	460	1700
23	480	1787
24	500	1741
25	520	1737
26	540	1813
27	560	1700
28	580	1846
29	600	1744
30	620	1816
31	640	1692
32	660	1783
33	680	1806
34	700	1762
35	720	1815
36	740	1798
37	760	1723
38	780	1711
39	800	1758
Mean	Std. Dev.
1750.650	41.804
Angle (deg)	10
Gate  No.	Time [ms]	Counts
0	20	2451
1	40	2426
2	60	2460
3	80	2583
4	100	2499
5	120	2480
6	140	2537
7	160	2535
8	180	2587
9	200	2537
10	220	2532
11	240	2518
12	260	2511
13	280	2613
14	300	2524
15	320	2530
16	340	2476
17	360	2551
18	380	2532
19	400	2511
20	420	2483
21	440	2467
22	460	2466
23	480	2565
24	500	2485
25	520	2526
26	540	2583
27	560	2542
28	580	2637
29	600	2482
30	620	2395
31	640	2515
32	660	2555
33	680	2471
34	700	2599
35	720	2513
36	740	2464
37	760	2508
38	780	2502
39	800	2535
Mean	Std. Dev.
2517.150	50.549
Angle (deg)	20
Gate  No.	Time [ms]	Counts
0	20	1813
1	40	1782
2	60	1809
3	80	1846
4	100	1958
5	120	1842
6	140	1836
7	160	1843
8	180	1916
9	200	1868
10	220	1783
11	240	1811
12	260	1929
13	280	1899
14	300	1881
15	320	1877
16	340	1789
17	360	1917
18	380	1845
19	400	1869
20	420	1836
21	440	1891
22	460	1823
23	480	1844
24	500	1827
25	520	1866
26	540	1825
27	560	1851
28	580	1854
29	600	1827
30	620	1881
31	640	1874
32	660	1868
33	680	1839
34	700	1925
35	720	1815
36	740	1912
37	760	1832
38	780	1843
39	800	1829
Mean	Std. Dev.
1854.375	41.325
Angle (deg)	30
Gate  No.	Time [ms]	Counts
0	20	518
1	40	536
2	60	504
3	80	578
4	100	545
5	120	489
6	140	507
7	160	543
8	180	580
9	200	562
10	220	544
11	240	525
12	260	532
13	280	572
14	300	534
15	320	589
16	340	545
17	360	571
18	380	500
19	400	539
20	420	544
21	440	587
22	460	521
23	480	599
24	500	550
25	520	556
26	540	538
27	560	594
28	580	525
29	600	599
30	620	512
31	640	562
32	660	546
33	680	541
34	700	515
35	720	559
36	740	563
37	760	536
38	780	565
39	800	541
Mean	Std. Dev.
546.650	27.801
Angle (deg)	40
Gate  No.	Time [ms]	Counts
0	20	91
1	40	92
2	60	87
3	80	102
4	100	79
5	120	89
6	140	88
7	160	102
8	180	89
9	200	71
10	220	80
11	240	84
12	260	75
13	280	81
14	300	90
15	320	94
16	340	75
17	360	76
18	380	80
19	400	78
20	420	83
21	440	100
22	460	90
23	480	98
24	500	85
25	520	102
26	540	92
27	560	91
28	580	70
29	600	89
30	620	97
31	640	66
32	660	84
33	680	94
34	700	74
35	720	105
36	740	114
37	760	79
38	780	94
39	800	94
Mean	Std. Dev.
87.600	10.570
Angle (deg)	50
Gate  No.	Time [ms]	Counts
0	20	451
1	40	370
2	60	401
3	80	425
4	100	391
5	120	427
6	140	422
7	160	399
8	180	378
9	200	404
10	220	380
11	240	405
12	260	383
13	280	396
14	300	428
15	320	390
16	340	396
17	360	422
18	380	400
19	400	360
20	420	406
21	440	408
22	460	381
23	480	384
24	500	397
25	520	379
26	540	428
27	560	386
28	580	365
29	600	411
30	620	449
31	640	357
32	660	426
