Angle (deg)	0
Gate  No.	Time [ms]	Counts
0	100	1485
1	200	1390
2	300	1361
3	400	1296
4	500	1273
5	600	1246
6	700	1268
7	800	1247
8	900	1176
9	1000	1189
10	1100	1161
11	1200	1198
12	1300	1155
13	1400	1204
14	1500	1194
15	1600	1166
16	1700	1165
17	1800	1208
18	1900	1168
19	2000	1187
20	2100	1162
21	2200	1203
22	2300	1114
23	2400	1148
24	2500	1153
25	2600	1179
26	2700	1150
27	2800	1159
28	2900	1154
29	3000	1219
30	3100	1176
31	3200	1115
32	3300	1221
33	3400	1185
34	3500	1080
35	3600	1171
36	3700	1150
37	3800	1207
38	3900	1191
39	4000	1186
40	4100	1191
41	4200	1158
42	4300	1174
43	4400	1161
44	4500	1155
45	4600	1168
46	4700	1119
47	4800	1177
48	4900	1168
49	5000	1133
50	5100	1202
51	5200	1095
52	5300	1123
53	5400	1198
54	5500	1133
55	5600	1194
56	5700	1179
57	5800	1132
58	5900	1210
59	6000	1184
60	6100	1190
61	6200	1206
62	6300	1153
63	6400	1207
64	6500	1211
65	6600	1156
66	6700	1201
67	6800	1158
68	6900	1174
69	7000	1141
70	7100	1148
71	7200	1213
72	7300	1201
73	7400	1191
74	7500	1152
75	7600	1131
76	7700	1183
77	7800	1166
78	7900	1164
79	8000	1171
80	8100	1145
81	8200	1206
82	8300	1167
83	8400	1146
84	8500	1137
85	8600	1145
86	8700	1152
87	8800	1174
88	8900	1216
89	9000	1131
90	9100	1173
91	9200	1205
92	9300	1144
93	9400	1145
94	9500	1188
95	9600	1192
96	9700	1138
97	9800	1199
98	9900	1128
99	10000	1157
Mean	Std. Dev.
1181.190	54.802
Angle (deg)	20
Gate  No.	Time [ms]	Counts
0	100	2091
1	200	2101
2	300	2033
3	400	2026
4	500	2007
5	600	2082
6	700	2075
7	800	1981
8	900	2008
9	1000	2056
10	1100	2106
11	1200	2032
12	1300	2014
13	1400	2067
14	1500	2145
15	1600	2111
16	1700	2004
17	1800	1992
18	1900	2017
19	2000	2055
20	2100	1997
21	2200	2034
22	2300	2045
23	2400	1993
24	2500	1996
25	2600	2101
26	2700	2075
27	2800	2024
28	2900	2009
29	3000	1996
30	3100	2087
31	3200	2046
32	3300	1984
33	3400	2028
34	3500	2001
35	3600	1984
36	3700	2030
37	3800	2094
38	3900	1985
39	4000	2004
40	4100	1999
41	4200	2031
42	4300	2012
43	4400	2002
44	4500	1999
45	4600	1968
46	4700	2015
47	4800	2073
48	4900	2033
49	5000	1987
50	5100	2017
51	5200	2001
52	5300	1935
53	5400	2058
54	5500	2054
55	5600	2005
56	5700	2025
57	5800	2077
58	5900	1997
59	6000	2055
60	6100	2106
61	6200	2020
62	6300	2030
63	6400	2103
64	6500	2040
65	6600	1995
66	6700	2105
67	6800	2033
68	6900	2075
69	7000	2064
70	7100	2069
71	7200	2017
72	7300	2003
73	7400	2018
74	7500	1974
75	7600	2016
76	7700	2027
77	7800	2092
78	7900	2065
79	8000	2008
80	8100	2010
81	8200	1974
82	8300	2019
83	8400	2091
84	8500	2080
85	8600	2014
86	8700	2008
87	8800	2064
88	8900	2070
89	9000	2019
90	9100	2018
91	9200	2033
92	9300	2045
93	9400	2047
94	9500	1984
95	9600	1963
96	9700	2096
97	9800	2084
98	9900	2028
99	10000	2005
Mean	Std. Dev.
2033.710	40.516
Angle (deg)	40
Gate  No.	Time [ms]	Counts
0	100	394
1	200	405
2	300	424
3	400	399
4	500	443
5	600	388
6	700	377
7	800	444
8	900	446
9	1000	406
10	1100	436
11	1200	431
12	1300	403
13	1400	396
14	1500	458
15	1600	395
16	1700	420
17	1800	443
18	1900	392
19	2000	403
20	2100	450
21	2200	384
22	2300	446
23	2400	398
24	2500	361
25	2600	428
26	2700	432
27	2800	451
28	2900	410
29	3000	412
30	3100	449
31	3200	424
32	3300	404
33	3400	441
34	3500	384
35	3600	437
36	3700	456
37	3800	419
38	3900	380
39	4000	430
40	4100	431
41	4200	423
42	4300	402
43	4400	403
44	4500	431
45	4600	429
46	4700	443
47	4800	411
48	4900	414
49	5000	425
50	5100	400
51	5200	406
52	5300	417
53	5400	459
54	5500	414
55	5600	388
56	5700	394
57	5800	416
58	5900	398
59	6000	414
60	6100	416
61	6200	400
62	6300	429
63	6400	427
64	6500	400
65	6600	439
66	6700	438
67	6800	385
68	6900	416
69	7000	432
70	7100	438
71	7200	458
72	7300	455
73	7400	403
74	7500	409
75	7600	400
76	7700	445
77	7800	395
78	7900	387
79	8000	414
80	8100	396
81	8200	452
82	8300	426
83	8400	453
84	8500	471
85	8600	401
86	8700	406
87	8800	416
88	8900	428
89	9000	435
90	9100	380
91	9200	423
92	9300	414
93	9400	412
94	9500	385
95	9600	445
96	9700	382
97	9800	383
98	9900	474
99	10000	377
Mean	Std. Dev.
417.620	24.078
Angle (deg)	60
Gate  No.	Time [ms]	Counts
0	100	703
1	200	620
2	300	706
3	400	700
4	500	660
5	600	708
6	700	683
7	800	740
8	900	651
9	1000	679
10	1100	685
11	1200	703
12	1300	687
13	1400	708
14	1500	680
15	1600	705
16	1700	665
17	1800	697
18	1900	715
19	2000	666
20	2100	664
21	2200	683
22	2300	648
23	2400	704
24	2500	661
25	2600	698
26	2700	671
27	2800	682
28	2900	700
29	3000	620
30	3100	691
31	3200	699
32	3300	635
33	3400	630
34	3500	654
35	3600	678
36	3700	642
37	3800	725
38	3900	660
39	4000	639
40	4100	658
41	4200	675
42	4300	699
43	4400	709
44	4500	666
45	4600	606
46	4700	636
47	4800	653
48	4900	674
49	5000	644
50	5100	698
51	5200	634
52	5300	705
53	5400	639
54	5500	685
55	5600	703
56	5700	721
57	5800	677
58	5900	711
59	6000	661
60	6100	693
61	6200	668
62	6300	654
63	6400	689
64	6500	666
65	6600	691
66	6700	718
67	6800	666
68	6900	668
69	7000	648
70	7100	717
71	7200	650
72	7300	651
73	7400	714
74	7500	698
75	7600	722
76	7700	675
77	7800	685
78	7900	692
79	8000	681
80	8100	668
81	8200	702
82	8300	672
83	8400	655
84	8500	670
85	8600	619
86	8700	728
87	8800	663
88	8900	675
89	9000	663
90	9100	683
91	9200	654
92	9300	689
93	9400	640
94	9500	649
95	9600	655
96	9700	656
97	9800	634
98	9900	670
99	10000	690
Mean	Std. Dev.
675.800	27.747
Angle (deg)	80
Gate  No.	Time [ms]	Counts
0	100	435
1	200	493
2	300	472
3	400	426
4	500	424
5	600	467
6	700	455
7	800	425
8	900	455
9	1000	475
10	1100	457
11	1200	491
12	1300	456
13	1400	475
14	1500	469
15	1600	421
16	1700	442
17	1800	485
18	1900	426
19	2000	451
20	2100	462
21	2200	432
22	2300	449
23	2400	442
24	2500	491
25	2600	427
26	2700	435
27	2800	495
28	2900	474
29	3000	462
30	3100	452
31	3200	425
32	3300	449
33	3400	445
34	3500	397
35	3600	427
36	3700	431
37	3800	428
38	3900	454
39	4000	454
40	4100	460
41	4200	449
42	4300	448
43	4400	449
44	4500	440
45	4600	442
46	4700	486
47	4800	443
48	4900	455
49	5000	482
50	5100	427
51	5200	462
52	5300	416
53	5400	445
54	5500	423
55	5600	427
56	5700	467
57	5800	444
58	5900	482
59	6000	449
60	6100	464
61	6200	454
62	6300	438
63	6400	449
64	6500	442
65	6600	471
66	6700	471
67	6800	465
68	6900	429
69	7000	472
70	7100	441
71	7200	494
72	7300	436
73	7400	413
74	7500	426
75	7600	446
76	7700	440
77	7800	463
78	7900	444
79	8000	396
80	8100	419
81	8200	443
82	8300	435
83	8400	423
84	8500	466
85	8600	471
86	8700	449
87	8800	456
88	8900	449
89	9000	442
90	9100	468
91	9200	486
92	9300	443
93	9400	446
94	9500	448
95	9600	461
96	9700	441
97	9800	455
98	9900	461
99	10000	455
Mean	Std. Dev.
449.980	20.899
Angle (deg)	100
Gate  No.	Time [ms]	Counts
0	100	1940
1	200	2079
2	300	2051
3	400	2059
4	500	2006
5	600	2091
6	700	1985
7	800	1984
8	900	2007
9	1000	2043
10	1100	2027
11	1200	2039
12	1300	2074
13	1400	2035
14	1500	2021
15	1600	2085
16	1700	1977
17	1800	2006
18	1900	1992
19	2000	2092
20	2100	1984
21	2200	2081
22	2300	2054
23	2400	2091
24	2500	2019
25	2600	2038
26	2700	2037
27	2800	2050
28	2900	2020
29	3000	1984
30	3100	2044
31	3200	1999
32	3300	2085
33	3400	2128
34	3500	1977
35	3600	2055
36	3700	1958
37	3800	2084
38	3900	1978
39	4000	2084
40	4100	2146
41	4200	1996
42	4300	2076
43	4400	2041
44	4500	2018
45	4600	2059
46	4700	2060
47	4800	2140
48	4900	2002
49	5000	2046
50	5100	2052
51	5200	2053
52	5300	2063
53	5400	2023
54	5500	2110
55	5600	2061
56	5700	1965
57	5800	1979
58	5900	1979
59	6000	2027
60	6100	2015
61	6200	2084
62	6300	2016
63	6400	1966
64	6500	1998
65	6600	1982
66	6700	2153
67	6800	2012
68	6900	2079
69	7000	2036
70	7100	2120
71	7200	2056
72	7300	1890
73	7400	2058
74	7500	2170
75	7600	2057
76	7700	2013
77	7800	2097
78	7900	2103
79	8000	2050
80	8100	2060
81	8200	2067
82	8300	2017
83	8400	1965
84	8500	2052
85	8600	2016
86	8700	2086
87	8800	1983
88	8900	2050
89	9000	2035
90	9100	2144
91	9200	1994
92	9300	1996
93	9400	2018
94	9500	2062
95	9600	2113
96	9700	2095
97	9800	2076
98	9900	2029
99	10000	2063
Mean	Std. Dev.
2041.150	50.115
Angle (deg)	120
Gate  No.	Time [ms]	Counts
0	100	1097
1	200	1131
2	300	1125
3	400	1153
4	500	1123
5	600	1149
6	700	1167
7	800	1163
8	900	1136
9	1000	1155
10	1100	1154
11	1200	1100
12	1300	1090
13	1400	1162
14	1500	1115
15	1600	1114
16	1700	1165
17	1800	1136
18	1900	1100
19	2000	1110
20	2100	1175
21	2200	1134
22	2300	1121
23	2400	1110
24	2500	1122
25	2600	1132
26	2700	1142
27	2800	1150
28	2900	1135
29	3000	1119
30	3100	1158
31	3200	1207
32	3300	1136
33	3400	1117
34	3500	1125
35	3600	1117
36	3700	1143
37	3800	1107
38	3900	1123
39	4000	1150
40	4100	1145
41	4200	1157
42	4300	1130
43	4400	1122
44	4500	1147
45	4600	1120
46	4700	1151
47	4800	1120
48	4900	1140
49	5000	1117
50	5100	1107
51	5200	1059
52	5300	1158
53	5400	1092
54	5500	1098
55	5600	1163
56	5700	1149
57	5800	1163
58	5900	1145
59	6000	1156
60	6100	1147
61	6200	1121
62	6300	1133
63	6400	1099
64	6500	1113
65	6600	1105
66	6700	1139
67	6800	1109
68	6900	1146
69	7000	1119
70	7100	1120
71	7200	1178
72	7300	1135
73	7400	1210
74	7500	1080
75	7600	1168
76	7700	1103
77	7800	1180
78	7900	1157
79	8000	1125
80	8100	1155
81	8200	1098
82	8300	1131
83	8400	1127
84	8500	1167
85	8600	1159
86	8700	1237
87	8800	1201
88	8900	1116
89	9000	1133
90	9100	1152
91	9200	1127
92	9300	1131
93	9400	1133
94	9500	1091
95	9600	1173
96	9700	1139
97	9800	1139
98	9900	1131
99	10000	1082
Mean	Std. Dev.
1135.160	28.865
Angle (deg)	140
Gate  No.	Time [ms]	Counts
0	100	528
1	200	522
2	300	531
3	400	522
4	500	490
5	600	540
6	700	517
7	800	474
8	900	539
9	1000	555
10	1100	530
11	1200	538
12	1300	466
13	1400	487
14	1500	497
15	1600	538
16	1700	567
17	1800	512
18	1900	514
19	2000	500
20	2100	525
21	2200	511
22	2300	492
23	2400	548
24	2500	513
25	2600	481
26	2700	489
27	2800	568
28	2900	525
29	3000	541
30	3100	484
31	3200	568
32	3300	515
33	3400	468
34	3500	523
35	3600	511
36	3700	476
37	3800	537
38	3900	549
39	4000	517
40	4100	523
41	4200	529
42	4300	500
43	4400	527
44	4500	518
45	4600	542
46	4700	487
47	4800	520
48	4900	527
49	5000	499
50	5100	508
51	5200	556
52	5300	518
53	5400	522
54	5500	510
55	5600	527
56	5700	535
57	5800	515
58	5900	478
59	6000	498
60	6100	554
61	6200	492
62	6300	514
63	6400	539
64	6500	512
65	6600	565
66	6700	469
67	6800	578
68	6900	489
69	7000	535
70	7100	561
71	7200	489
72	7300	528
73	7400	539
74	7500	482
75	7600	474
76	7700	511
77	7800	547
78	7900	502
79	8000	517
80	8100	472
81	8200	523
82	8300	518
83	8400	564
84	8500	510
85	8600	514
86	8700	513
87	8800	492
88	8900	510
89	9000	518
90	9100	535
91	9200	524
92	9300	499
93	9400	507
94	9500	552
95	9600	534
96	9700	503
97	9800	509
98	9900	488
99	10000	537
Mean	Std. Dev.
517.660	25.482
Angle (deg)	160
Gate  No.	Time [ms]	Counts
0	100	514
1	200	469
2	300	456
3	400	489
4	500	479
5	600	510
6	700	525
7	800	502
8	900	460
9	1000	494
10	1100	501
11	1200	464
12	1300	510
13	1400	494
14	1500	472
15	1600	471
16	1700	495
17	1800	491
18	1900	507
19	2000	465
20	2100	472
21	2200	471
22	2300	485
23	2400	526
24	2500	476
25	2600	436
26	2700	500
27	2800	497
28	2900	508
29	3000	484
30	3100	494
31	3200	478
32	3300	492
33	3400	457
34	3500	498
35	3600	497
36	3700	461
37	3800	511
38	3900	507
39	4000	499
40	4100	474
41	4200	480
42	4300	462
43	4400	497
44	4500	453
45	4600	532
46	4700	509
47	4800	509
48	4900	473
49	5000	465
50	5100	449
51	5200	470
52	5300	488
53	5400	492
54	5500	485
55	5600	490
56	5700	496
57	5800	490
58	5900	497
59	6000	520
60	6100	478
61	6200	506
62	6300	473
63	6400	469
64	6500	511
65	6600	446
66	6700	497
67	6800	496
68	6900	506
69	7000	449
70	7100	488
71	7200	478
72	7300	526
73	7400	480
74	7500	500
75	7600	502
76	7700	455
77	7800	501
78	7900	467
79	8000	486
80	8100	454
81	8200	473
82	8300	500
83	8400	508
84	8500	487
85	8600	466
86	8700	504
87	8800	497
88	8900	503
89	9000	487
90	9100	495
91	9200	497
92	9300	547
93	9400	469
94	9500	493
95	9600	536
96	9700	455
97	9800	547
98	9900	565
99	10000	434
Mean	Std. Dev.
488.790	23.936
Angle (deg)	180
Gate  No.	Time [ms]	Counts
0	100	1119
1	200	1077
2	300	1077
3	400	1099
4	500	1123
5	600	1111
6	700	1097
7	800	1146
8	900	1185
9	1000	1144
10	1100	1097
11	1200	1111
12	1300	1081
13	1400	1113
14	1500	1115
15	1600	1079
16	1700	1179
17	1800	1091
18	1900	1102
19	2000	1205
20	2100	1179
21	2200	1132
22	2300	1087
23	2400	1163
24	2500	1074
25	2600	1166
26	2700	1141
27	2800	1130
28	2900	1098
29	3000	1112
30	3100	1153
31	3200	1052
32	3300	1130
33	3400	1099
34	3500	1132
35	3600	1109
36	3700	1135
37	3800	1129
38	3900	1127
39	4000	1108
40	4100	1151
41	4200	1131
42	4300	1158
43	4400	1065
44	4500	1236
45	4600	1062
46	4700	1047
47	4800	1197
48	4900	1115
49	5000	1183
50	5100	1106
51	5200	1223
52	5300	1104
53	5400	1155
54	5500	1190
55	5600	1130
56	5700	1153
57	5800	1137
58	5900	1139
59	6000	1139
60	6100	1155
61	6200	1150
62	6300	1114
63	6400	1141
64	6500	1106
65	6600	1139
66	6700	1147
67	6800	1088
68	6900	1117
69	7000	1169
70	7100	1074
71	7200	1103
72	7300	1065
73	7400	1113
74	7500	1165
75	7600	1127
76	7700	1110
77	7800	1097
78	7900	1097
79	8000	1126
80	8100	1116
81	8200	1080
82	8300	1192
83	8400	1049
84	8500	1136
85	8600	1097
86	8700	1073
87	8800	1109
88	8900	1081
89	9000	1155
90	9100	1128
91	9200	1101
92	9300	1140
93	9400	1152
94	9500	1151
95	9600	1073
96	9700	1088
97	9800	1136
98	9900	1127
99	10000	1181
Mean	Std. Dev.
1123.960	38.162
Angle Itr.	Counts Mean	
0.000	229.930
20.000	403.560
40.000	82.450
60.000	134.610
80.000	87.700
100.000	407.340
120.000	223.420
140.000	99.240
160.000	92.830
180.000	221.990
200.000	1181.190
220.000	2033.710
240.000	417.620
260.000	675.800
280.000	449.980
300.000	2041.150
320.000	1135.160
340.000	517.660
360.000	488.790
380.000	1123.960
Mean	Std. Dev.
602.404	601.049
