Gate  No.	Time [ms]	Counts
0	20	3349
1	40	3400
2	60	3237
3	80	3390
4	100	3302
5	120	3449
6	140	3294
7	160	3306
8	180	3390
9	200	3390
10	220	3388
11	240	3310
12	260	3397
13	280	3423
14	300	3250
15	320	3268
16	340	3478
17	360	3416
18	380	3454
19	400	3415
20	420	3360
21	440	3388
22	460	3322
23	480	3257
24	500	3384
25	520	3357
26	540	3426
27	560	3430
28	580	3323
29	600	3394
30	620	3401
31	640	3281
32	660	3312
33	680	3372
34	700	3428
35	720	3273
36	740	3311
37	760	3427
38	780	3422
39	800	3372
40	820	3382
41	840	3325
42	860	3305
43	880	3447
44	900	3384
45	920	3371
46	940	3411
47	960	3382
48	980	3452
49	1000	3393
50	1020	3358
51	1040	3415
52	1060	3390
53	1080	3384
54	1100	3412
55	1120	3366
56	1140	3423
57	1160	3298
58	1180	3449
59	1200	3298
60	1220	3386
61	1240	3345
62	1260	3280
63	1280	3375
64	1300	3397
65	1320	3418
66	1340	3479
67	1360	3435
68	1380	3417
69	1400	3380
70	1420	3529
71	1440	3406
72	1460	3383
73	1480	3340
74	1500	3365
75	1520	3375
76	1540	3430
77	1560	3447
78	1580	3391
79	1600	3339
80	1620	3334
81	1640	3382
82	1660	3369
83	1680	3401
84	1700	3408
85	1720	3318
86	1740	3435
87	1760	3352
88	1780	3268
89	1800	3417
90	1820	3419
91	1840	3466
92	1860	3428
93	1880	3390
94	1900	3424
95	1920	3331
96	1940	3259
97	1960	3489
98	1980	3347
99	2000	3416
Mean	Std. Dev.
3377.610	58.383
