#Sample	sample
#LaserPower (mW)	sample
#NumGates	40
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	1950.575	56.932
5.000	1356.375	39.068
10.000	715.950	26.727
15.000	474.650	20.044
20.000	686.000	24.861
25.000	945.500	29.408
30.000	849.925	22.437
35.000	445.800	16.561
40.000	125.650	11.738
45.000	282.300	17.226
50.000	877.475	25.093
55.000	1473.950	37.675
60.000	1663.075	43.356
65.000	1388.700	45.086
70.000	1103.500	33.760
75.000	1271.725	33.546
80.000	1893.200	41.406
85.000	2404.975	37.055
90.000	2360.725	48.013
95.000	1681.300	30.219
100.000	885.300	31.043
105.000	589.575	25.885
110.000	833.300	33.467
115.000	1148.425	29.978
120.000	1022.725	37.467
125.000	512.850	22.242
130.000	133.000	12.549
135.000	398.450	17.494
140.000	1215.700	37.068
145.000	1948.725	35.784
150.000	2088.600	48.462
155.000	1638.200	42.723
160.000	1203.600	41.492
165.000	1262.625	37.639
170.000	1807.625	45.435
175.000	2206.200	38.746
