#Sample	sample
#LaserPower (mW)	sample
#NumGates	40
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	1158.325	33.296
5.000	998.350	36.458
10.000	1352.175	39.306
15.000	1876.500	51.688
20.000	2156.150	52.269
25.000	1852.550	45.074
30.000	1220.175	31.047
35.000	786.625	25.791
40.000	838.800	32.595
45.000	1188.625	35.794
50.000	1360.300	36.154
55.000	1027.025	29.481
60.000	487.675	20.813
65.000	390.625	22.367
70.000	957.125	30.710
75.000	1824.800	43.119
80.000	2347.525	59.608
85.000	2140.900	58.447
90.000	1554.950	48.363
95.000	1346.000	33.606
100.000	1749.600	34.790
105.000	2477.400	59.979
110.000	2764.125	48.694
115.000	2407.725	48.548
120.000	1627.825	47.019
125.000	1125.025	30.041
130.000	1162.300	36.123
135.000	1469.450	37.564
140.000	1452.025	37.915
145.000	947.650	28.065
150.000	310.750	16.509
155.000	130.000	10.278
160.000	600.800	27.641
165.000	1326.575	31.727
170.000	1741.825	48.159
175.000	1598.425	47.124
