#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	250
Angle	CountsMean	CountsSTD
0.000	6.500	2.635
3.000	4.500	2.014
6.000	5.800	2.150
9.000	10.500	3.375
12.000	23.000	2.449
15.000	30.500	8.086
18.000	45.000	7.257
21.000	48.900	6.935
24.000	57.800	8.257
27.000	54.600	7.427
30.000	51.800	7.997
33.000	40.300	7.424
36.000	34.100	5.801
39.000	24.100	4.557
42.000	13.900	3.071
45.000	10.000	1.886
48.000	6.900	2.846
51.000	10.700	3.889
54.000	16.300	5.870
57.000	31.400	4.858
60.000	37.600	6.620
63.000	47.300	6.634
66.000	51.800	6.697
69.000	56.100	4.725
72.000	58.000	8.882
75.000	57.700	7.675
78.000	43.500	7.246
81.000	33.700	8.667
84.000	23.600	5.190
87.000	14.000	3.464
90.000	7.300	1.767
93.000	6.300	2.497
96.000	6.600	2.716
99.000	11.100	2.685
102.000	23.700	6.019
105.000	35.700	5.908
108.000	43.900	7.445
111.000	52.500	5.297
114.000	55.300	8.394
117.000	55.000	5.292
120.000	53.700	5.250
123.000	39.600	5.892
126.000	32.000	5.416
129.000	23.300	6.129
132.000	12.100	3.755
135.000	8.000	2.211
138.000	5.600	3.134
141.000	7.500	1.716
144.000	13.400	3.688
147.000	26.200	5.770
150.000	34.800	5.203
153.000	45.000	7.242
156.000	51.400	5.522
159.000	57.400	7.905
162.000	62.600	9.058
165.000	51.600	7.183
168.000	46.800	10.086
171.000	33.900	6.154
174.000	23.300	4.596
177.000	13.000	3.432
