#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	250
Angle	CountsMean	CountsSTD
0.000	9960.470	114.937
3.000	9945.067	133.137
6.000	10246.733	154.333
9.000	9948.867	100.835
12.000	8980.467	93.499
15.000	7518.200	79.156
18.000	5973.400	72.025
21.000	4447.533	59.129
24.000	3282.267	46.570
27.000	2698.467	53.789
30.000	2720.000	50.536
33.000	3522.800	40.147
36.000	4866.267	46.536
39.000	6564.533	88.825
42.000	8443.000	79.156
45.000	10189.667	81.045
48.000	11675.067	81.053
51.000	12319.400	109.755
54.000	12401.400	114.571
57.000	11696.267	114.075
60.000	10412.533	105.341
63.000	8900.800	111.441
66.000	57.900	5.744
69.000	54.800	6.713
72.000	55.500	6.519
75.000	55.000	5.011
78.000	47.100	7.490
81.000	33.500	5.421
84.000	27.200	3.155
87.000	26.400	5.254
90.000	20.000	3.887
93.000	18.300	3.713
96.000	24.900	7.094
99.000	53.300	6.750
102.000	52.500	5.759
105.000	53.600	7.604
108.000	49.000	4.922
111.000	46.100	7.608
114.000	31.800	3.584
117.000	26.400	6.186
120.000	25.800	3.938
123.000	21.600	4.115
126.000	18.000	4.320
129.000	24.500	6.536
132.000	30.200	5.308
135.000	36.500	5.563
138.000	44.500	5.061
141.000	52.600	8.746
144.000	57.200	8.351
147.000	55.100	8.062
150.000	61.200	10.665
153.000	54.100	7.475
156.000	51.300	12.284
159.000	40.500	5.622
162.000	32.200	6.125
165.000	30.200	3.458
168.000	25.500	5.083
171.000	25.400	5.854
174.000	27.600	4.624
177.000	30.700	5.755
180.000	39.100	2.885
183.000	44.500	5.986
186.000	49.500	5.603
189.000	57.700	5.272
192.000	58.700	6.447
195.000	57.400	5.910
198.000	52.800	8.324
201.000	48.300	8.314
204.000	40.300	6.865
207.000	36.000	5.578
210.000	26.000	4.944
213.000	25.700	6.584
216.000	26.300	5.034
219.000	34.400	5.816
222.000	38.000	6.360
225.000	45.800	7.554
228.000	52.700	9.117
231.000	57.600	11.227
234.000	61.000	8.807
237.000	59.500	11.038
240.000	56.800	7.300
243.000	55.500	7.750
246.000	41.600	7.749
249.000	33.600	5.835
252.000	27.000	5.416
255.000	20.400	6.059
258.000	14.700	3.129
261.000	17.500	4.249
264.000	19.600	4.526
267.000	24.400	3.748
270.000	30.900	5.301
273.000	42.600	6.059
276.000	44.700	4.029
