#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	200
Angle	CountsMean	CountsSTD
0.000	167.700	17.302
3.000	171.700	5.851
6.000	177.400	11.834
9.000	184.500	14.105
12.000	186.400	9.501
15.000	188.900	14.426
18.000	205.300	20.276
21.000	205.100	6.574
24.000	203.400	11.702
27.000	200.200	19.298
30.000	205.500	10.783
33.000	193.600	18.662
36.000	192.400	10.298
39.000	182.200	10.581
42.000	177.500	14.516
45.000	175.400	11.047
48.000	185.600	17.771
51.000	195.000	15.549
54.000	199.800	14.883
57.000	222.600	20.408
60.000	227.400	14.308
63.000	234.500	13.235
66.000	240.900	13.747
69.000	228.600	17.005
72.000	232.100	8.774
75.000	213.400	17.507
78.000	208.000	16.055
81.000	201.800	15.845
84.000	191.700	24.998
87.000	177.800	15.142
90.000	171.300	13.064
93.000	164.500	13.402
96.000	174.900	11.695
99.000	190.900	18.107
102.000	202.100	16.319
105.000	208.300	19.505
108.000	223.300	10.709
111.000	227.200	9.508
114.000	233.900	16.107
117.000	234.300	20.418
120.000	228.600	21.900
123.000	223.800	15.533
126.000	211.100	10.311
129.000	191.100	14.548
132.000	185.900	18.532
135.000	180.600	10.416
138.000	180.200	11.660
141.000	181.800	12.479
144.000	192.600	19.478
147.000	191.900	16.676
150.000	193.200	11.410
153.000	207.400	8.566
156.000	203.700	16.000
159.000	210.300	8.845
162.000	198.200	7.099
165.000	190.800	11.468
168.000	189.900	16.888
171.000	173.200	10.283
174.000	170.700	14.453
177.000	165.700	15.290
