#Sample	WS2 test perpneg
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	4601.200	68.879
5.000	5464.950	85.307
10.000	7277.500	82.744
15.000	9571.250	100.317
20.000	11579.350	139.176
25.000	12698.050	96.895
30.000	12926.200	128.814
35.000	12135.500	158.949
40.000	11041.600	80.548
45.000	9977.950	113.299
50.000	9416.200	67.755
55.000	9387.200	107.575
60.000	9728.850	109.063
65.000	9976.000	123.139
70.000	9618.650	114.010
75.000	8569.750	108.658
80.000	6934.800	120.008
85.000	5184.750	67.313
90.000	3835.450	77.686
95.000	3517.200	79.451
100.000	4448.000	61.295
105.000	6576.950	99.886
110.000	9289.650	142.390
115.000	11794.750	138.540
120.000	13365.500	129.239
125.000	13441.300	113.387
130.000	12583.000	245.719
135.000	9867.600	119.544
140.000	7403.850	116.431
145.000	6012.300	229.107
150.000	4864.350	80.037
155.000	5635.200	94.069
160.000	7420.200	94.386
165.000	3416.350	58.702
170.000	7651.650	85.193
175.000	11040.200	107.779
180.000	12053.100	109.339
185.000	11755.050	145.657
190.000	11839.800	130.779
195.000	12932.050	122.884
200.000	14004.350	201.985
205.000	12807.900	129.789
210.000	9712.300	111.987
215.000	7129.500	80.455
220.000	7342.050	105.371
225.000	10476.000	104.739
230.000	13643.500	106.296
235.000	13693.400	103.892
240.000	10049.150	138.564
245.000	5073.150	60.464
250.000	2511.300	39.562
255.000	4118.650	58.336
260.000	8183.200	118.093
265.000	11676.050	135.773
270.000	12804.800	99.272
275.000	12537.200	105.696
280.000	12877.000	108.581
285.000	14279.350	110.304
290.000	15247.850	194.653
295.000	13777.300	148.865
300.000	9945.700	88.540
305.000	6322.850	54.737
310.000	5722.150	91.483
315.000	8275.750	111.796
320.000	11245.950	93.881
325.000	11436.500	130.782
330.000	8066.950	80.697
335.000	3585.300	74.918
340.000	1562.950	39.966
