MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001064	-50.332200
0.001064	-50.329951
0.001064	-50.327122
0.001064	-50.319371
0.001064	-50.319371
0.001064	-50.314514
0.001064	-50.303479
0.001064	-50.297215
0.001064	-50.297215
0.001064	-50.282774
0.001064	-50.274677
0.001064	-50.274677
0.001063	-50.256916
0.001063	-50.256916
0.001063	-50.247230
0.001063	-50.226774
0.001063	-50.216315
0.001063	-50.216315
0.001063	-50.194588
0.001063	-50.182983
0.001063	-50.170701
0.001063	-50.157882
0.001064	-50.144591
0.001064	-50.130849
0.001064	-50.116843
0.001064	-50.102953
0.001064	-50.089105
0.001064	-50.075260
0.001064	-50.061542
0.001064	-50.048070
0.001065	-50.034904
0.001065	-50.022289
0.001065	-50.010320
0.001065	-49.998943
0.001066	-49.988310
0.001066	-49.978294
0.001066	-49.968739
0.001066	-49.959680
0.001066	-49.950985
0.001067	-49.942524
0.001067	-49.934324
0.001067	-49.926442
0.001067	-49.918820
0.001068	-49.911332
0.001068	-49.904463
0.001068	-49.897938
0.001068	-49.891526
0.001069	-49.885354
0.001069	-49.879605
0.001069	-49.874509
0.001069	-49.870205
0.001070	-49.866643
0.001070	-49.864096
0.001070	-49.862488
0.001070	-49.861684
0.001070	-49.861524
0.001071	-49.861860
0.001071	-49.862491
0.001071	-49.863540
0.001071	-49.864937
0.001072	-49.866725
0.001072	-49.868769
0.001072	-49.871116
0.001072	-49.873845
0.001073	-49.876964
0.001073	-49.880786
0.001073	-49.885367
0.001074	-49.890386
0.001074	-49.895833
0.001075	-49.901833
0.001075	-49.908255
0.001076	-49.915161
0.001076	-49.922097
0.001077	-49.929204
0.001077	-49.936740
0.001077	-49.944621
0.001078	-49.952860
0.001078	-49.961462
0.001079	-49.970360
0.001079	-49.979862
0.001079	-49.989975
0.001079	-50.000234
0.001079	-50.010677
0.001079	-50.021188
0.001079	-50.031903
0.001079	-50.042940
0.001079	-50.054169
0.001079	-50.065547
0.001079	-50.076873
0.001079	-50.087959
0.001079	-50.098745
0.001078	-50.109175
0.001078	-50.119309
0.001078	-50.129254
0.001078	-50.139330
0.001077	-50.149699
0.001077	-50.160342
0.001077	-50.171091
