#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	200
Angle	CountsMean	CountsSTD
0.000	140.200	9.004
3.000	147.300	9.569
6.000	133.400	10.501
9.000	115.200	7.540
12.000	81.700	6.634
15.000	53.300	9.093
18.000	44.300	5.143
21.000	41.700	5.716
24.000	50.900	10.754
27.000	62.700	10.750
30.000	74.800	8.011
33.000	78.900	7.724
36.000	68.100	5.953
39.000	55.000	9.262
42.000	34.900	4.954
45.000	16.900	4.067
48.000	9.400	3.062
51.000	12.600	1.838
54.000	26.100	4.433
57.000	41.500	7.138
60.000	59.500	7.367
63.000	67.300	8.883
66.000	66.500	9.914
69.000	56.000	6.583
72.000	46.300	6.783
75.000	49.300	6.075
78.000	57.500	9.981
81.000	78.200	11.233
84.000	93.200	9.151
87.000	125.300	11.786
90.000	143.600	8.859
93.000	141.500	9.710
96.000	137.800	9.114
99.000	110.800	13.348
102.000	88.800	9.578
105.000	59.300	9.787
108.000	47.800	5.712
111.000	47.900	4.630
114.000	52.800	9.773
117.000	64.500	9.265
120.000	63.100	7.781
123.000	66.600	8.656
126.000	54.800	4.849
129.000	35.500	5.148
132.000	20.000	4.269
135.000	6.500	2.461
138.000	3.900	2.470
141.000	14.000	4.163
144.000	35.200	7.913
147.000	54.700	9.238
150.000	69.700	10.446
153.000	73.500	2.593
156.000	74.100	7.593
159.000	59.400	5.542
162.000	44.900	5.087
165.000	39.100	6.297
168.000	45.600	6.004
171.000	66.800	9.762
174.000	91.100	5.587
177.000	119.700	9.499
