#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	200
Angle	CountsMean	CountsSTD
0.000	3.000	1.333
3.000	4.000	2.211
6.000	2.800	1.398
9.000	4.700	3.093
12.000	4.400	2.119
15.000	3.500	1.269
18.000	3.500	1.509
21.000	3.400	1.955
24.000	4.300	3.683
27.000	3.600	1.776
30.000	3.700	1.829
33.000	2.800	1.989
36.000	3.800	1.751
39.000	3.000	1.700
42.000	3.500	1.650
45.000	2.800	1.932
48.000	3.700	1.889
51.000	2.600	1.430
54.000	3.500	1.354
57.000	4.000	1.826
60.000	4.000	1.633
63.000	3.100	2.132
66.000	3.100	2.424
69.000	3.600	2.119
72.000	2.800	1.814
75.000	1.900	1.287
78.000	2.600	2.413
81.000	1.200	1.317
84.000	1.800	1.619
87.000	2.900	1.287
90.000	2.200	1.687
93.000	2.700	1.252
96.000	2.500	1.354
99.000	2.400	1.578
102.000	6.100	2.283
105.000	6.300	1.767
108.000	14.000	11.136
111.000	3.000	1.414
114.000	3.600	2.413
117.000	2.700	1.636
120.000	3.500	1.581
123.000	3.900	1.370
126.000	4.600	2.066
129.000	4.200	1.229
132.000	4.300	2.869
135.000	3.300	3.234
138.000	3.700	2.791
141.000	3.900	2.079
144.000	5.000	1.886
147.000	3.700	1.636
150.000	4.200	1.317
153.000	4.100	2.601
156.000	4.100	2.378
159.000	3.500	2.224
162.000	3.300	1.829
165.000	3.300	1.703
168.000	3.300	1.889
171.000	3.800	1.033
174.000	3.600	2.066
177.000	4.800	1.932
