#Sample	sample
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	9656.650	118.829
3.000	9763.800	109.285
6.000	10145.600	96.384
9.000	10709.750	102.881
12.000	11354.400	146.177
15.000	11952.200	154.755
18.000	12587.600	123.883
21.000	13038.950	124.306
24.000	13312.400	155.010
27.000	13254.500	133.399
30.000	13043.800	127.915
33.000	12630.100	133.219
36.000	12089.650	151.516
39.000	11747.100	113.882
42.000	11402.750	115.593
45.000	11341.400	106.685
48.000	11592.400	79.448
51.000	12079.800	125.614
54.000	12683.200	131.500
57.000	13489.450	147.574
60.000	14093.300	160.031
63.000	14595.300	188.241
66.000	14787.350	151.607
69.000	14802.050	147.417
72.000	14447.950	113.220
75.000	13778.900	163.207
78.000	12875.050	164.317
81.000	11991.000	117.556
84.000	11102.500	122.909
87.000	10522.900	108.160
90.000	10091.050	119.918
93.000	10115.050	129.306
96.000	10373.200	106.733
99.000	11069.400	120.644
102.000	11918.200	143.592
105.000	12867.500	157.531
108.000	13842.400	126.199
111.000	14506.450	148.459
114.000	14935.250	148.832
117.000	15095.700	168.579
120.000	14831.600	146.239
123.000	14313.100	186.517
126.000	13667.000	146.287
129.000	12910.450	91.117
132.000	12245.250	160.664
135.000	11843.900	97.821
138.000	11506.050	135.956
141.000	11480.350	187.642
144.000	11590.800	159.517
147.000	11927.900	98.771
150.000	12318.250	124.982
153.000	12633.000	79.050
156.000	12826.550	103.601
159.000	12793.750	179.734
162.000	12583.900	157.892
165.000	12167.750	181.002
168.000	11616.950	94.147
171.000	11017.650	155.147
174.000	10386.600	140.743
177.000	10045.300	109.907
