#Sample	sample
#LaserPower (mW)	sample
#NumGates	15
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	10295.733	120.985
3.000	10674.333	132.863
6.000	10291.733	112.913
9.000	9349.733	114.248
12.000	7885.333	90.636
15.000	6265.000	66.002
18.000	4744.467	70.728
21.000	3507.600	66.395
24.000	2882.133	59.037
27.000	2900.267	58.314
30.000	3686.733	66.593
33.000	5029.000	72.742
36.000	6868.000	84.557
39.000	8834.867	64.303
42.000	10592.067	116.117
45.000	11973.067	134.555
48.000	12743.067	120.714
51.000	12747.400	162.081
54.000	12118.667	129.170
57.000	10781.933	142.262
60.000	9146.933	128.647
63.000	7495.600	75.608
66.000	6139.467	103.251
69.000	5234.400	91.719
72.000	4995.200	95.506
75.000	5334.333	96.194
78.000	6280.133	60.980
81.000	7537.667	115.873
84.000	8924.000	114.026
87.000	10118.533	116.157
90.000	10942.533	126.148
93.000	11043.800	80.290
96.000	10698.933	108.903
99.000	9695.933	112.162
102.000	8243.400	85.104
105.000	6819.067	80.018
108.000	5368.333	70.318
111.000	4284.667	80.835
114.000	3865.267	83.948
117.000	4088.000	82.665
120.000	5074.733	82.306
123.000	6505.600	95.529
126.000	8301.467	103.456
129.000	9998.067	125.701
132.000	11563.867	130.688
135.000	12684.600	119.663
138.000	12743.800	184.781
141.000	12354.600	107.208
144.000	11102.200	75.894
147.000	9300.067	99.195
150.000	7420.333	87.786
153.000	5498.267	77.839
156.000	4035.133	91.275
159.000	3101.667	71.155
162.000	2938.133	48.587
165.000	3483.267	66.696
168.000	4627.533	96.091
171.000	6265.667	73.697
174.000	7907.267	91.408
177.000	9487.600	103.904
