#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	10105.600	83.552
3.000	10450.500	111.687
6.000	9757.100	148.737
9.000	8002.100	88.904
12.000	6038.400	112.963
15.000	4348.800	80.826
18.000	3335.900	65.629
21.000	3293.800	55.475
24.000	3973.900	76.702
27.000	5075.800	77.064
30.000	5948.500	47.829
33.000	6161.800	57.825
36.000	5582.200	62.332
39.000	4342.900	48.827
42.000	2672.000	40.740
45.000	1224.400	22.505
48.000	507.300	19.900
51.000	655.700	20.688
54.000	1554.300	34.976
57.000	2853.200	80.983
60.000	4113.900	81.485
63.000	4815.900	66.390
66.000	4902.000	74.292
69.000	4468.200	58.393
72.000	3991.000	56.576
75.000	3836.300	53.893
78.000	4406.200	49.331
81.000	5695.200	74.622
84.000	7510.900	90.825
87.000	9217.300	125.262
90.000	10560.000	153.238
93.000	10798.500	167.148
96.000	10237.500	104.215
99.000	8548.100	71.328
102.000	6663.200	117.685
105.000	5038.300	82.038
108.000	4016.000	72.193
111.000	3811.900	59.422
114.000	4342.800	65.222
117.000	5139.500	59.500
120.000	5556.200	80.877
123.000	5411.100	108.009
126.000	4504.500	55.257
129.000	3053.400	66.143
132.000	1525.700	27.588
135.000	398.100	23.235
138.000	124.100	10.440
141.000	754.100	28.513
144.000	2097.600	47.533
147.000	3585.500	72.930
150.000	4836.500	61.152
153.000	5307.600	71.759
156.000	5145.500	83.160
159.000	4271.300	52.839
162.000	3445.400	33.801
165.000	3034.500	52.913
168.000	3464.800	47.844
171.000	4799.900	55.320
174.000	6778.700	83.996
177.000	8832.000	56.529
