#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	825.600	33.610
3.000	332.600	19.851
6.000	1218.900	36.327
9.000	3288.600	68.568
12.000	5855.800	93.369
15.000	8255.200	74.488
18.000	9882.300	62.292
21.000	10556.600	129.923
24.000	10358.500	75.769
27.000	9432.900	103.973
30.000	8541.100	163.717
33.000	8045.800	114.433
36.000	8192.700	100.117
39.000	9066.300	122.407
42.000	10371.100	124.143
45.000	11518.800	248.187
48.000	12414.400	156.969
51.000	12638.900	139.232
54.000	12405.100	173.919
57.000	11837.200	153.291
60.000	11245.600	146.968
63.000	11121.200	112.859
66.000	11355.200	99.635
69.000	11679.500	153.033
72.000	11860.400	81.297
75.000	11050.700	131.788
78.000	9551.400	91.587
81.000	7153.300	122.698
84.000	4386.600	55.078
87.000	1922.300	52.510
90.000	365.300	23.262
93.000	173.800	14.688
96.000	1455.800	36.346
99.000	3934.000	68.578
102.000	6895.700	81.739
105.000	9569.800	101.552
108.000	11349.400	109.189
111.000	12164.600	100.751
114.000	11868.000	143.972
117.000	10940.600	92.809
120.000	10072.700	97.183
123.000	9634.800	139.465
126.000	9755.600	111.610
129.000	10570.000	114.117
132.000	11593.500	166.700
135.000	12351.300	127.127
138.000	12512.800	126.595
141.000	12055.500	121.762
144.000	10902.600	117.571
147.000	9656.700	102.747
150.000	8752.200	83.374
153.000	8384.500	70.730
156.000	8761.700	124.441
159.000	9581.300	106.505
162.000	10114.900	137.432
165.000	10249.700	59.818
168.000	9202.500	138.059
171.000	7424.300	96.237
174.000	4994.100	84.704
177.000	2532.200	50.944
