#Sample	sample
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	3455.850	62.169
3.000	5606.300	79.082
6.000	7657.900	87.085
9.000	8942.050	111.910
12.000	9167.450	115.149
15.000	8255.550	116.293
18.000	6811.050	71.742
21.000	5457.650	96.363
24.000	4730.500	62.468
27.000	5052.400	87.325
30.000	6546.850	89.159
33.000	8561.600	92.479
36.000	10629.800	102.782
39.000	11972.000	154.068
42.000	12095.250	103.182
45.000	10982.800	134.863
48.000	8983.650	91.564
51.000	6604.950	92.191
54.000	4624.900	84.066
57.000	3416.100	46.795
60.000	3175.300	66.875
63.000	3698.900	49.586
66.000	4390.500	64.464
69.000	4861.500	70.660
72.000	4750.700	73.341
75.000	4022.250	76.427
78.000	3004.400	65.335
81.000	2102.950	46.052
84.000	1907.150	47.532
87.000	2632.850	84.162
90.000	4159.750	97.064
93.000	6183.150	84.745
96.000	8042.500	98.909
99.000	9191.800	71.116
102.000	9405.750	151.649
105.000	8661.750	99.605
108.000	7329.900	116.350
111.000	6112.450	114.128
114.000	5651.200	97.575
117.000	6101.950	81.189
120.000	7363.850	105.621
123.000	9018.550	92.090
126.000	10512.000	159.862
129.000	11084.700	133.367
132.000	10496.650	121.412
135.000	8759.100	95.645
138.000	6369.700	79.282
141.000	4021.300	52.615
144.000	2354.200	39.591
147.000	1702.400	57.209
150.000	2091.300	50.298
153.000	3183.800	55.119
156.000	4357.600	73.006
159.000	5034.900	83.511
162.000	4885.200	63.440
165.000	3943.400	56.383
168.000	2606.800	58.088
171.000	1474.950	34.771
174.000	1114.600	34.004
177.000	1826.700	37.899
