#Sample	sample
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	96.000	8.182
3.000	183.450	13.930
6.000	942.550	30.775
9.000	2139.950	52.306
12.000	3286.200	69.098
15.000	4090.750	53.538
18.000	4240.800	57.816
21.000	3855.550	71.778
24.000	3185.200	50.522
27.000	2695.250	61.844
30.000	2621.700	52.254
33.000	3291.650	61.438
36.000	4528.700	83.897
39.000	6148.900	81.599
42.000	7632.650	146.951
45.000	8654.450	67.274
48.000	8802.300	100.528
51.000	8032.150	108.216
54.000	6656.100	112.602
57.000	5090.500	51.861
60.000	3807.450	81.632
63.000	3033.050	56.280
66.000	2882.200	88.874
69.000	3155.950	40.116
72.000	3571.800	51.331
75.000	3736.450	69.273
78.000	3426.350	50.379
81.000	2612.700	57.017
84.000	1539.750	39.931
87.000	585.300	24.870
90.000	72.750	7.107
93.000	190.100	15.286
96.000	911.450	16.763
99.000	2022.150	47.931
102.000	3151.900	60.971
105.000	3904.900	75.208
108.000	4097.350	66.589
111.000	3885.400	75.582
114.000	3449.750	69.974
117.000	3180.600	71.192
120.000	3397.650	55.346
123.000	4224.000	83.339
126.000	5520.500	89.669
129.000	7036.800	76.876
132.000	8264.850	120.794
135.000	8841.150	109.430
138.000	8467.200	122.568
141.000	7329.000	86.972
144.000	5635.350	83.875
147.000	3979.050	80.851
150.000	2719.100	73.245
153.000	2199.000	60.249
156.000	2399.350	42.768
159.000	2991.250	50.832
162.000	3685.550	71.049
165.000	4015.100	58.455
168.000	3751.050	82.266
171.000	2909.800	54.303
174.000	1765.000	39.016
177.000	703.650	37.054
