#Sample	WS2 test perp
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	4651.400	63.473
3.000	5580.700	77.149
6.000	5751.700	82.617
9.000	5148.700	83.950
12.000	4127.300	75.968
15.000	3201.750	69.446
18.000	2979.700	44.248
21.000	3837.350	51.993
24.000	5857.450	92.805
27.000	8646.750	108.899
30.000	11414.200	121.276
33.000	13520.200	128.123
36.000	14383.850	159.529
39.000	13834.100	164.386
42.000	12167.150	139.523
45.000	9784.500	114.317
48.000	7638.400	93.236
51.000	6295.750	84.564
54.000	5918.550	87.943
57.000	6606.500	84.014
60.000	7661.850	106.212
63.000	8576.600	132.466
66.000	8839.100	107.769
69.000	8272.900	86.175
72.000	7089.300	65.768
75.000	5477.550	90.810
78.000	4153.400	69.821
81.000	3420.750	73.036
84.000	3515.600	58.314
87.000	4132.300	71.415
90.000	4989.100	59.069
93.000	5552.900	80.710
96.000	5520.400	64.053
99.000	4867.450	84.588
102.000	4021.700	57.865
105.000	3432.750	55.694
108.000	3700.800	75.198
111.000	5000.950	68.301
114.000	7361.950	104.187
117.000	10290.100	117.503
120.000	12936.050	162.264
123.000	14672.400	142.245
126.000	15075.750	147.462
129.000	13909.250	169.974
132.000	11772.650	96.647
135.000	9135.900	103.142
138.000	6937.900	101.059
141.000	5800.950	86.094
144.000	5773.200	84.012
147.000	6623.100	85.711
150.000	7870.200	79.231
153.000	8719.000	83.746
156.000	8815.400	120.555
159.000	7846.500	75.980
162.000	6276.700	107.783
165.000	4330.050	67.346
168.000	2801.050	52.651
171.000	2087.900	44.853
174.000	2396.800	51.679
177.000	3405.750	81.151
