#Sample	sample
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	7806.850	72.628
3.000	7814.750	90.520
6.000	7457.850	137.339
9.000	6849.900	85.492
12.000	6295.750	87.547
15.000	6082.800	89.353
18.000	6256.400	90.232
21.000	6709.300	103.565
24.000	7306.200	109.042
27.000	7575.250	91.325
30.000	7173.600	96.288
33.000	6128.250	88.649
36.000	4480.650	80.761
39.000	2562.500	64.709
42.000	986.450	23.790
45.000	136.650	11.984
48.000	375.450	21.799
51.000	1605.900	42.270
54.000	3617.150	66.774
57.000	5815.800	100.308
60.000	7764.400	77.931
63.000	8960.600	86.548
66.000	9230.050	105.348
69.000	8913.150	101.511
72.000	8233.250	128.143
75.000	7593.850	99.394
78.000	7278.300	57.677
81.000	7291.000	85.248
84.000	7610.150	90.577
87.000	7937.050	84.890
90.000	8046.000	106.169
93.000	7793.850	74.685
96.000	7222.450	117.503
99.000	6539.950	126.659
102.000	6099.400	90.643
105.000	6149.200	86.228
108.000	6642.300	105.634
111.000	7581.500	114.967
114.000	8499.350	111.726
117.000	8910.550	93.155
120.000	8534.100	110.961
123.000	7314.000	81.568
126.000	5424.300	68.823
129.000	3196.950	57.062
132.000	1296.500	39.167
135.000	212.850	12.432
138.000	308.550	17.533
141.000	1482.600	37.000
144.000	3364.100	63.974
147.000	5401.650	75.990
150.000	7103.650	96.920
153.000	8045.150	144.185
156.000	8078.000	96.805
159.000	7565.000	101.218
162.000	6573.350	79.922
165.000	5874.000	101.738
168.000	5595.350	96.373
171.000	5840.600	77.387
174.000	6514.300	71.086
177.000	7356.650	83.170
