#Sample	WS2
#LaserPower (mW)	p2
#NumGates	30
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	3773.167	97.973
5.000	2572.300	90.967
10.000	1231.667	33.143
15.000	837.267	39.071
20.000	1406.033	42.847
25.000	2094.000	44.300
30.000	1886.267	53.891
35.000	1074.800	37.628
40.000	220.600	15.048
45.000	288.133	16.525
50.000	1238.033	39.871
55.000	2233.600	74.183
60.000	2323.133	98.523
65.000	1746.300	57.879
70.000	1149.800	32.428
75.000	1176.367	35.123
80.000	1769.433	52.196
85.000	2314.600	60.870
90.000	2268.267	51.032
95.000	1530.567	55.874
100.000	785.200	28.467
105.000	516.700	32.980
110.000	878.433	37.670
115.000	1383.533	39.627
120.000	1375.333	41.063
125.000	775.933	33.550
130.000	157.900	15.555
135.000	340.433	18.199
140.000	1345.667	55.482
145.000	2394.633	46.723
150.000	2662.700	89.873
155.000	2212.100	64.368
160.000	1580.467	58.927
165.000	1664.933	61.234
170.000	2619.833	65.530
175.000	3552.267	98.960
180.000	3456.967	78.676
