#Sample	WS2
#LaserPower (mW)	p2
#NumGates	40
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	219.475	16.887
5.000	1201.925	39.872
10.000	2586.925	56.483
15.000	3165.275	63.602
20.000	2794.525	74.904
25.000	2299.450	87.684
30.000	2133.650	61.375
35.000	2496.475	57.234
40.000	3148.450	89.469
45.000	3155.775	72.351
50.000	2669.300	67.414
55.000	2049.475	63.080
60.000	1844.400	64.896
65.000	2308.275	88.504
70.000	2872.500	67.288
75.000	2664.300	87.385
80.000	1572.725	54.520
85.000	475.575	27.727
90.000	252.325	18.592
95.000	1152.425	45.187
100.000	2680.825	72.206
105.000	3549.350	92.962
110.000	3550.125	83.413
115.000	3075.400	61.928
120.000	3148.025	76.319
125.000	3827.700	113.648
130.000	4330.425	177.899
135.000	4384.600	129.176
140.000	3443.800	89.299
145.000	2263.525	61.533
150.000	1956.150	70.127
155.000	2516.200	86.399
160.000	3072.275	84.017
165.000	2852.000	69.928
170.000	1686.375	54.236
175.000	432.225	25.929
