MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001074	-50.129821
0.001074	-50.134165
0.001073	-50.139217
0.001073	-50.144988
0.001073	-50.151158
0.001072	-50.157689
0.001072	-50.165008
0.001072	-50.173074
0.001071	-50.181717
0.001071	-50.190506
0.001071	-50.199402
0.001071	-50.208321
0.001070	-50.217156
0.001070	-50.225733
0.001070	-50.234011
0.001069	-50.241737
0.001069	-50.248450
0.001069	-50.253924
0.001069	-50.257781
0.001068	-50.259812
0.001068	-50.260079
0.001068	-50.258460
0.001068	-50.255074
0.001068	-50.250095
0.001068	-50.243544
0.001068	-50.235514
0.001068	-50.226074
0.001068	-50.215434
0.001068	-50.204191
0.001068	-50.193063
0.001069	-50.182379
0.001069	-50.172118
0.001069	-50.162254
0.001069	-50.152863
0.001069	-50.144288
0.001070	-50.136553
0.001070	-50.129665
0.001070	-50.123943
0.001070	-50.119322
0.001071	-50.116018
0.001071	-50.114324
0.001071	-50.113993
0.001072	-50.114798
0.001072	-50.116430
0.001072	-50.118860
0.001073	-50.122191
0.001073	-50.126643
0.001073	-50.131952
0.001073	-50.138167
0.001073	-50.145444
0.001073	-50.153386
0.001074	-50.161973
0.001074	-50.170989
0.001074	-50.180113
0.001073	-50.189124
0.001073	-50.198008
0.001073	-50.206902
0.001073	-50.215725
0.001073	-50.224272
0.001072	-50.232284
0.001072	-50.239342
0.001071	-50.245378
0.001071	-50.250628
0.001070	-50.255337
0.001070	-50.259686
0.001069	-50.264255
0.001068	-50.268613
0.001067	-50.272732
0.001067	-50.276498
0.001066	-50.279748
0.001065	-50.282282
0.001065	-50.284069
0.001064	-50.285115
0.001063	-50.285337
0.001063	-50.284602
0.001062	-50.283033
0.001062	-50.280611
0.001061	-50.277225
0.001061	-50.273187
0.001061	-50.268465
0.001061	-50.263222
0.001061	-50.257905
0.001061	-50.252649
0.001061	-50.247511
0.001062	-50.239122
0.001062	-50.239122
0.001062	-50.236281
0.001063	-50.232940
0.001063	-50.232940
0.001064	-50.232166
0.001066	-50.232700
0.001066	-50.232700
0.001066	-50.234146
0.001068	-50.240232
0.001069	-50.245016
0.001069	-50.250906
0.001070	-50.257678
0.001071	-50.265074
0.001071	-50.272918
0.001071	-50.280786
Mean R	Std.Dev R
0.001069	3.848598E-6
Mean T	Std.Dev T
-50.212323	0.054551
Current Position 
69.985
R(V)	Theta
0.001071	-50.442035
0.001071	-50.452387
0.001071	-50.461017
0.001070	-50.467663
0.001070	-50.472367
0.001070	-50.475206
0.001069	-50.475921
0.001069	-50.474365
0.001069	-50.470252
0.001069	-50.463621
0.001070	-50.454675
0.001070	-50.443429
0.001070	-50.430097
0.001070	-50.414928
0.001071	-50.398051
0.001071	-50.379748
0.001072	-50.360414
0.001072	-50.340048
0.001072	-50.319513
0.001073	-50.299006
0.001073	-50.278956
0.001074	-50.259331
0.001074	-50.240243
0.001075	-50.222080
0.001075	-50.204949
0.001075	-50.188699
0.001075	-50.173046
0.001076	-50.157810
0.001076	-50.143286
0.001076	-50.129755
0.001076	-50.117296
0.001076	-50.105889
0.001076	-50.095547
0.001076	-50.086365
0.001076	-50.078611
0.001076	-50.072482
0.001076	-50.067983
0.001077	-50.064923
0.001077	-50.063097
0.001077	-50.062292
0.001077	-50.062151
0.001077	-50.062393
0.001077	-50.062904
0.001077	-50.063775
0.001077	-50.064970
0.001077	-50.066518
0.001078	-50.068375
0.001078	-50.070447
0.001078	-50.072622
0.001078	-50.074829
0.001078	-50.076957
0.001077	-50.078761
0.001077	-50.080165
0.001077	-50.081278
0.001077	-50.082291
0.001077	-50.083060
0.001077	-50.083436
0.001077	-50.083138
0.001077	-50.081888
0.001077	-50.079919
0.001077	-50.077497
0.001077	-50.074683
0.001077	-50.071615
0.001077	-50.068339
0.001077	-50.064663
0.001077	-50.060242
0.001077	-50.054999
0.001077	-50.048963
0.001077	-50.042150
0.001077	-50.034875
0.001077	-50.027204
0.001077	-50.019173
0.001078	-50.010841
0.001078	-50.002540
0.001078	-49.994701
0.001078	-49.987583
0.001079	-49.981357
0.001079	-49.975786
0.001079	-49.970887
0.001080	-49.966747
0.001080	-49.963383
0.001080	-49.960972
0.001080	-49.959676
0.001080	-49.959634
0.001080	-49.960927
0.001081	-49.963546
0.001081	-49.967492
0.001080	-49.972298
0.001080	-49.977544
0.001080	-49.983475
0.001080	-49.990180
0.001080	-49.997683
0.001080	-50.005968
0.001079	-50.015113
0.001079	-50.024858
0.001079	-50.034855
0.001078	-50.044827
0.001078	-50.054301
0.001078	-50.063178
0.001077	-50.071581
Mean R	Std.Dev R
0.001076	3.195618E-6
Mean T	Std.Dev T
-50.132936	0.161212
Current Position 
69.970
R(V)	Theta
0.001063	-49.948133
0.001064	-49.942856
0.001064	-49.938198
0.001065	-49.934350
0.001065	-49.931616
0.001066	-49.930038
0.001066	-49.929794
0.001067	-49.931359
0.001067	-49.934846
0.001068	-49.940030
0.001068	-49.946826
0.001069	-49.955285
0.001069	-49.965295
0.001069	-49.976737
0.001070	-49.989415
0.001070	-50.003288
0.001070	-50.018080
0.001071	-50.033481
0.001071	-50.049300
0.001071	-50.065406
0.001072	-50.081646
0.001072	-50.097883
0.001072	-50.114043
0.001073	-50.130194
0.001073	-50.146382
0.001073	-50.162677
0.001074	-50.179251
0.001074	-50.196533
0.001074	-50.213679
0.001074	-50.230514
0.001075	-50.246723
0.001075	-50.262203
0.001075	-50.276611
0.001075	-50.289501
0.001075	-50.301024
0.001075	-50.311308
0.001076	-50.320387
0.001076	-50.328197
0.001076	-50.334430
0.001076	-50.338617
0.001076	-50.340611
0.001076	-50.340325
0.001077	-50.337758
0.001077	-50.333016
0.001077	-50.326259
0.001077	-50.317667
0.001078	-50.307235
0.001078	-50.295312
0.001078	-50.282173
0.001079	-50.267984
0.001079	-50.253002
0.001080	-50.237413
0.001080	-50.221397
0.001081	-50.205194
0.001081	-50.189009
0.001082	-50.173193
0.001082	-50.157325
0.001083	-50.141835
0.001084	-50.126784
0.001084	-50.112601
0.001085	-50.099516
0.001085	-50.087607
0.001086	-50.076971
0.001086	-50.067639
0.001087	-50.059590
0.001087	-50.053018
0.001088	-50.047959
0.001088	-50.044238
0.001089	-50.041686
0.001089	-50.040473
0.001089	-50.040898
0.001090	-50.042778
0.001090	-50.045925
0.001090	-50.050373
0.001090	-50.056113
0.001090	-50.063078
0.001090	-50.070939
0.001090	-50.079400
0.001090	-50.088095
0.001090	-50.096642
0.001090	-50.104878
0.001089	-50.112511
0.001089	-50.119304
0.001089	-50.125546
0.001089	-50.131436
0.001088	-50.136534
0.001088	-50.139998
0.001088	-50.141614
0.001088	-50.141517
0.001088	-50.139716
0.001088	-50.136073
0.001088	-50.130558
0.001087	-50.123649
0.001087	-50.115758
0.001087	-50.107272
0.001087	-50.098356
0.001088	-50.089094
0.001088	-50.079411
0.001088	-50.069189
0.001088	-50.058670
Mean R	Std.Dev R
0.001080	8.286470E-6
Mean T	Std.Dev T
-50.124463	0.118722
Current Position 
69.955
R(V)	Theta
0.001083	-50.148366
0.001083	-50.148995
0.001084	-50.150121
0.001084	-50.151593
0.001085	-50.153213
0.001085	-50.154989
0.001086	-50.156877
0.001086	-50.158782
0.001086	-50.160691
0.001086	-50.162456
0.001087	-50.163987
0.001087	-50.165343
0.001087	-50.166433
0.001087	-50.167318
0.001087	-50.167978
0.001086	-50.168205
0.001086	-50.168018
0.001086	-50.167437
0.001086	-50.166436
0.001085	-50.165009
0.001085	-50.163023
0.001084	-50.160370
0.001084	-50.157195
0.001083	-50.153594
0.001082	-50.149579
0.001082	-50.145338
0.001081	-50.140838
0.001080	-50.135943
0.001080	-50.130764
0.001079	-50.125302
0.001078	-50.119666
0.001078	-50.114086
0.001077	-50.109060
0.001076	-50.104894
0.001076	-50.101675
0.001075	-50.099355
0.001075	-50.098032
0.001074	-50.098022
0.001074	-50.099325
0.001073	-50.101802
0.001073	-50.105676
0.001073	-50.111537
0.001072	-50.119427
0.001072	-50.129382
0.001071	-50.141232
0.001071	-50.154844
0.001071	-50.170277
0.001070	-50.187532
0.001070	-50.206269
0.001070	-50.226004
0.001069	-50.246747
0.001069	-50.268384
