Angle (deg)	0
Gate  No.	Time [ms]	Counts
0	40	3405
1	80	3461
2	120	3482
3	160	3450
4	200	3499
5	240	3406
6	280	3550
7	320	3367
8	360	3456
9	400	3352
10	440	3439
11	480	3469
12	520	3486
13	560	3474
14	600	3407
15	640	3517
16	680	3479
17	720	3485
18	760	3495
19	800	3593
20	840	3467
21	880	3404
22	920	3391
23	960	3527
24	1000	3453
25	1040	3496
26	1080	3418
27	1120	3495
28	1160	3451
29	1200	3500
30	1240	3556
31	1280	3543
32	1320	3386
33	1360	3519
34	1400	3549
35	1440	3521
36	1480	3546
37	1520	3394
38	1560	3369
39	1600	3562
40	1640	3416
41	1680	3501
42	1720	3574
43	1760	3508
44	1800	3489
45	1840	3505
46	1880	3538
47	1920	3521
48	1960	3490
49	2000	3454
50	2040	3478
51	2080	3471
52	2120	3582
53	2160	3406
54	2200	3479
55	2240	3485
56	2280	3445
57	2320	3421
58	2360	3506
59	2400	3464
60	2440	3458
61	2480	3460
62	2520	3538
63	2560	3532
64	2600	3539
65	2640	3625
66	2680	3460
67	2720	3576
68	2760	3552
69	2800	3506
70	2840	3497
71	2880	3513
72	2920	3547
73	2960	3475
74	3000	3520
75	3040	3581
76	3080	3529
77	3120	3520
78	3160	3482
79	3200	3489
80	3240	3359
81	3280	3383
82	3320	3596
83	3360	3496
84	3400	3393
85	3440	3384
86	3480	3440
87	3520	3529
88	3560	3537
89	3600	3482
90	3640	3541
91	3680	3506
92	3720	3473
93	3760	3466
94	3800	3524
95	3840	3567
96	3880	3460
97	3920	3546
98	3960	3527
99	4000	3444
Mean	Std. Dev.
3486.040	58.624
Angle (deg)	2
Gate  No.	Time [ms]	Counts
0	40	4014
1	80	3931
2	120	4012
3	160	4021
4	200	4084
5	240	3875
6	280	4018
7	320	3945
8	360	3979
9	400	3922
10	440	3920
11	480	3979
12	520	3918
13	560	4034
14	600	3964
15	640	4000
16	680	3934
17	720	3980
18	760	3961
19	800	4021
20	840	3967
21	880	3945
22	920	3943
23	960	3901
24	1000	4061
25	1040	3820
26	1080	3880
27	1120	3991
28	1160	4024
29	1200	4041
30	1240	3979
31	1280	4067
32	1320	4019
33	1360	3798
34	1400	3937
35	1440	3974
36	1480	3998
37	1520	4008
38	1560	3876
39	1600	4031
40	1640	3947
41	1680	4083
42	1720	3903
43	1760	3964
44	1800	4005
45	1840	4085
46	1880	4045
47	1920	4008
48	1960	3968
49	2000	3979
50	2040	4024
51	2080	3894
52	2120	4017
53	2160	3980
54	2200	3887
55	2240	3949
56	2280	3968
57	2320	3931
58	2360	3945
59	2400	3928
60	2440	3978
61	2480	4024
62	2520	4072
63	2560	4025
64	2600	3867
65	2640	3928
66	2680	3857
67	2720	3987
68	2760	4043
69	2800	3947
70	2840	3911
71	2880	4001
72	2920	3900
73	2960	3963
74	3000	4039
75	3040	3986
76	3080	3855
77	3120	3895
78	3160	3910
79	3200	3884
80	3240	4088
81	3280	3939
82	3320	3938
83	3360	3847
84	3400	3881
85	3440	4020
86	3480	3988
87	3520	4047
88	3560	3876
89	3600	3887
90	3640	4017
91	3680	4048
92	3720	3965
93	3760	3865
94	3800	3844
95	3840	4151
96	3880	4079
97	3920	3973
98	3960	3873
99	4000	4070
Mean	Std. Dev.
3967.500	69.343
Angle (deg)	5
Gate  No.	Time [ms]	Counts
0	40	4471
1	80	4344
2	120	4392
3	160	4239
4	200	4384
5	240	4440
6	280	4408
7	320	4388
8	360	4394
9	400	4474
10	440	4369
11	480	4547
12	520	4426
13	560	4410
14	600	4429
15	640	4568
16	680	4490
17	720	4487
18	760	4418
19	800	4428
20	840	4385
21	880	4363
22	920	4386
23	960	4392
24	1000	4438
25	1040	4408
26	1080	4306
27	1120	4394
28	1160	4446
29	1200	4390
30	1240	4415
31	1280	4333
32	1320	4410
33	1360	4557
34	1400	4365
35	1440	4423
36	1480	4480
37	1520	4400
38	1560	4462
39	1600	4383
40	1640	4416
41	1680	4390
42	1720	4580
43	1760	4532
44	1800	4439
45	1840	4341
46	1880	4447
47	1920	4306
48	1960	4464
49	2000	4534
50	2040	4300
51	2080	4520
52	2120	4494
53	2160	4296
54	2200	4315
55	2240	4541
56	2280	4465
57	2320	4402
58	2360	4363
59	2400	4389
60	2440	4321
61	2480	4440
62	2520	4447
63	2560	4305
64	2600	4447
65	2640	4530
66	2680	4375
