#Sample	WS2
#LaserPower (mW)	0.5
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	3349.600	79.688
5.000	2051.550	80.118
10.000	1269.450	30.060
15.000	1349.100	48.672
20.000	2136.700	58.352
25.000	3244.050	91.707
30.000	4211.750	96.028
35.000	4512.400	101.348
40.000	4129.100	94.965
45.000	2931.450	63.801
50.000	1858.700	65.196
55.000	1294.350	42.678
60.000	1541.500	46.060
65.000	2436.750	92.089
70.000	3595.950	118.803
75.000	4522.750	88.622
80.000	4694.250	80.435
85.000	4067.850	77.530
90.000	2937.350	66.790
95.000	1821.550	44.999
100.000	1178.200	31.790
105.000	1362.500	65.793
110.000	2239.400	95.819
115.000	3421.650	78.592
120.000	4219.350	134.997
125.000	4250.300	133.935
130.000	3575.150	93.210
135.000	2414.600	82.409
140.000	1235.900	42.668
145.000	634.450	33.336
150.000	877.300	30.524
155.000	1914.800	52.947
160.000	3339.500	75.704
165.000	4429.950	57.063
170.000	4839.000	99.115
175.000	4292.900	77.742
