#Sample	WS2
#LaserPower (mW)	0.5
#NumGates	30
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	3297.433	71.793
5.000	1807.133	48.973
10.000	857.533	31.674
15.000	927.133	31.529
20.000	1504.133	57.391
25.000	1774.233	47.833
30.000	1296.767	44.752
35.000	624.900	31.202
40.000	514.333	25.929
45.000	1316.133	45.607
50.000	2450.800	58.066
55.000	2913.833	62.693
60.000	2607.967	59.736
65.000	2007.100	57.177
70.000	2003.367	57.471
75.000	2751.367	66.921
80.000	3767.067	76.916
85.000	3968.900	100.454
90.000	3110.067	81.074
95.000	1782.833	41.746
100.000	895.700	33.903
105.000	926.500	35.343
110.000	1445.133	55.030
115.000	1684.233	41.414
120.000	1279.633	34.030
125.000	861.433	25.020
130.000	1142.600	34.816
135.000	2176.167	62.527
140.000	3355.567	73.572
145.000	3621.500	86.582
150.000	2843.800	117.168
155.000	1951.433	66.099
160.000	1901.733	57.752
165.000	2856.267	80.429
170.000	4191.567	60.572
175.000	4484.033	92.196
