#Sample	sample
#LaserPower (mW)	sample
#NumGates	10
#GateTime (ms)	200
Angle	CountsMean	CountsSTD
0.000	12.700	3.401
3.000	6.700	2.163
6.000	20.300	3.129
9.000	46.200	8.039
12.000	82.600	8.540
15.000	112.400	7.820
18.000	136.600	9.778
21.000	144.100	8.672
24.000	129.300	9.546
27.000	121.000	9.381
30.000	106.800	10.809
33.000	104.800	11.887
36.000	105.500	15.292
39.000	121.200	14.367
42.000	129.000	11.766
45.000	146.000	13.638
48.000	159.700	15.203
51.000	162.400	11.578
54.000	157.400	12.554
57.000	145.900	9.243
60.000	145.800	10.174
63.000	146.000	12.893
66.000	150.600	14.447
69.000	150.200	13.839
72.000	151.000	12.499
75.000	144.000	13.300
78.000	126.200	15.106
81.000	92.700	5.143
84.000	59.400	5.379
87.000	29.300	3.831
90.000	7.500	2.068
93.000	6.400	2.459
96.000	23.700	3.889
99.000	58.400	8.303
102.000	93.800	8.728
105.000	129.400	12.483
108.000	155.500	12.358
111.000	158.300	15.283
114.000	153.100	11.590
117.000	142.000	14.568
120.000	122.500	12.213
123.000	125.700	11.547
126.000	126.000	3.712
129.000	133.100	14.963
132.000	143.000	12.623
135.000	160.300	17.004
138.000	160.900	11.580
141.000	163.200	17.197
144.000	135.600	13.583
147.000	122.100	8.359
150.000	110.900	9.504
153.000	101.900	13.723
156.000	115.800	11.458
159.000	124.800	11.243
162.000	133.100	12.732
165.000	137.000	12.046
168.000	122.100	9.712
171.000	98.400	8.669
174.000	64.500	7.138
177.000	35.800	3.225
