#Sample	sample
#LaserPower (mW)	sample
#NumGates	15
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	10032.733	137.184
3.000	10458.400	112.908
6.000	10180.800	73.893
9.000	9421.733	113.380
12.000	8094.867	68.128
15.000	6478.533	105.041
18.000	5051.867	94.406
21.000	3873.533	62.937
24.000	3252.933	52.714
27.000	3275.267	82.863
30.000	3999.067	60.312
33.000	5229.200	70.807
36.000	6873.467	118.652
39.000	8732.000	122.121
42.000	10298.600	102.374
45.000	11626.000	123.450
48.000	12252.133	146.653
51.000	12011.867	154.652
54.000	11323.000	122.726
57.000	10180.067	87.840
60.000	8500.533	87.021
63.000	6884.333	129.833
66.000	5568.000	53.881
69.000	4656.667	53.055
72.000	4367.133	81.316
75.000	4766.933	78.910
78.000	5741.267	60.340
81.000	7032.667	84.103
84.000	8420.600	150.306
87.000	9646.333	118.390
90.000	10554.533	85.718
93.000	10869.000	151.028
96.000	10559.533	114.353
99.000	9637.267	103.206
102.000	8345.200	90.341
105.000	6939.667	82.739
108.000	5625.467	65.971
111.000	4654.733	66.293
114.000	4300.200	103.076
117.000	4499.267	47.224
120.000	5405.533	71.886
123.000	6825.933	130.076
126.000	8430.800	146.611
129.000	10188.667	151.149
132.000	11433.133	131.091
135.000	12412.933	166.414
138.000	12459.200	185.172
141.000	11901.533	128.051
144.000	10774.933	110.407
147.000	8888.267	105.708
150.000	6906.000	104.507
153.000	5036.867	83.785
156.000	3568.133	101.602
159.000	2722.667	49.049
162.000	2520.400	63.462
165.000	3092.667	48.802
168.000	4269.133	70.148
171.000	5858.267	75.063
174.000	7573.200	121.514
177.000	9118.800	103.061
