#Sample	sample
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	9706.500	116.256
3.000	9769.550	124.485
6.000	10080.150	92.681
9.000	10556.900	133.297
12.000	11333.650	124.564
15.000	12019.300	105.942
18.000	12687.450	118.488
21.000	13099.400	153.141
24.000	13330.450	147.667
27.000	13252.550	96.403
30.000	12927.150	124.728
33.000	12550.600	90.875
36.000	12163.050	124.579
39.000	11724.550	99.310
42.000	11383.700	158.569
45.000	11393.400	106.027
48.000	11585.150	128.759
51.000	12137.800	93.582
54.000	12731.150	94.647
57.000	13497.300	126.193
60.000	14152.100	123.651
63.000	14706.800	148.352
66.000	14933.400	144.208
69.000	14801.700	76.245
72.000	14541.700	144.067
75.000	13832.700	94.330
78.000	12940.400	108.573
81.000	11934.050	151.564
84.000	11125.350	114.184
87.000	10500.800	125.964
90.000	10053.600	96.784
93.000	10032.850	126.433
96.000	10347.700	134.440
99.000	10985.750	130.929
102.000	11924.350	126.595
105.000	12773.950	115.650
108.000	13787.150	113.286
111.000	14458.850	162.132
114.000	14937.850	112.539
117.000	15020.700	157.514
120.000	14863.650	140.798
123.000	14250.400	145.009
126.000	13626.150	127.951
129.000	12850.100	121.294
132.000	12258.700	147.730
135.000	11732.750	148.907
138.000	11488.600	104.952
141.000	11357.900	111.775
144.000	11574.650	126.219
147.000	11875.750	128.013
150.000	12191.000	149.800
153.000	12508.100	149.192
156.000	12781.750	104.683
159.000	12771.200	97.821
162.000	12535.550	98.954
165.000	12168.200	161.651
168.000	11507.850	144.595
171.000	10975.150	142.461
174.000	10453.750	88.557
177.000	10077.600	117.027
