#Sample	WS2
#LaserPower (mW)	p2
#NumGates	30
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	3977.600	108.606
5.000	1327.267	40.691
10.000	399.567	23.277
15.000	2923.300	81.048
20.000	4927.867	123.779
25.000	3945.700	97.403
30.000	2770.700	63.834
35.000	3071.500	78.612
40.000	3194.567	72.858
45.000	2247.733	55.035
50.000	1889.667	58.248
55.000	2498.800	44.963
60.000	2010.400	64.285
65.000	778.367	36.684
70.000	1834.633	70.837
75.000	4182.800	225.090
80.000	3849.400	101.313
85.000	927.100	33.115
90.000	303.833	18.553
95.000	3131.733	95.538
100.000	4702.467	95.086
105.000	2636.200	102.680
110.000	513.267	24.163
115.000	1216.833	44.855
120.000	2486.233	53.818
125.000	1962.967	48.463
130.000	1149.867	38.303
135.000	1485.133	50.264
140.000	2174.633	45.466
145.000	2419.367	74.587
150.000	3024.967	74.119
155.000	3307.800	96.261
160.000	2171.600	54.853
165.000	447.400	20.913
170.000	600.733	26.690
175.000	2285.033	61.736
180.000	2543.200	55.033
