#Sample	WS2
#LaserPower (mW)	0.5
#NumGates	30
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	667.100	32.062
5.000	162.900	12.788
10.000	398.667	17.609
15.000	1025.800	37.175
20.000	1378.533	50.531
25.000	1161.833	33.952
30.000	658.100	35.482
35.000	627.900	25.440
40.000	1190.733	53.864
45.000	2246.000	81.670
50.000	2574.333	90.781
55.000	2472.800	75.513
60.000	1804.267	64.578
65.000	1213.933	47.372
70.000	1280.633	43.883
75.000	1614.167	53.539
80.000	1712.633	71.179
85.000	1255.700	34.593
90.000	519.800	28.012
95.000	126.767	12.322
100.000	321.967	18.777
105.000	853.233	25.889
110.000	1155.333	45.705
115.000	987.333	38.373
120.000	694.500	35.162
125.000	837.767	40.187
130.000	1576.433	77.781
135.000	2477.900	102.698
140.000	2831.133	68.407
145.000	2250.800	66.749
150.000	1492.133	44.446
155.000	1012.800	31.402
160.000	1157.000	39.126
165.000	1725.600	62.766
170.000	1971.100	67.355
175.000	1384.667	59.411
180.000	633.300	30.740
