#Sample	sample
#LaserPower (mW)	sample
#NumGates	15
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	9700.133	91.254
3.000	10302.667	124.124
6.000	10230.933	126.988
9.000	9532.067	116.152
12.000	8434.067	107.804
15.000	7155.400	61.631
18.000	5824.933	81.684
21.000	4752.267	113.879
24.000	4227.867	69.224
27.000	4220.267	58.799
30.000	4817.000	67.130
33.000	5958.333	95.084
36.000	7302.400	85.910
39.000	8892.800	149.972
42.000	10295.733	113.512
45.000	11285.133	87.679
48.000	11666.400	135.552
51.000	11421.733	139.306
54.000	10524.867	154.330
57.000	9236.600	98.959
60.000	7651.133	101.480
63.000	5972.667	85.037
66.000	4692.800	72.071
69.000	3895.133	48.305
72.000	3656.933	67.266
75.000	4115.533	78.114
78.000	5012.133	90.902
81.000	6334.200	83.248
84.000	7763.667	136.979
87.000	9034.267	75.988
90.000	10035.200	120.882
93.000	10559.600	105.276
96.000	10447.533	103.825
99.000	9859.200	75.239
102.000	8826.733	121.237
105.000	7679.933	90.927
108.000	6619.467	109.524
111.000	5720.933	85.944
114.000	5413.800	87.117
117.000	5628.200	101.563
120.000	6445.800	101.476
123.000	7603.800	98.539
126.000	9003.733	89.442
129.000	10401.800	72.664
132.000	11519.933	80.851
135.000	12041.533	175.998
138.000	12080.933	100.881
141.000	11320.533	105.964
144.000	10034.333	109.329
147.000	8230.667	125.768
150.000	6280.933	62.479
153.000	4462.267	83.424
156.000	3050.600	62.229
159.000	2221.267	42.959
162.000	2096.400	42.723
165.000	2649.600	58.985
168.000	3808.533	57.836
171.000	5369.133	67.217
174.000	7107.333	68.898
177.000	8693.933	127.342
