#Sample	sample
#LaserPower (mW)	sample
#NumGates	15
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	827.667	22.912
3.000	262.333	19.152
6.000	632.667	22.433
9.000	1929.400	46.014
12.000	3875.800	59.495
15.000	6061.333	99.500
18.000	8220.400	88.493
21.000	9995.267	129.075
24.000	10978.533	104.324
27.000	11049.467	139.460
30.000	10387.267	125.006
33.000	8771.067	145.531
36.000	6780.267	91.494
39.000	4632.667	67.787
42.000	2631.200	54.804
45.000	1263.533	29.046
48.000	750.400	29.034
51.000	1196.867	34.370
54.000	2515.933	40.515
57.000	4520.267	73.886
60.000	6832.667	78.554
63.000	9020.533	110.810
66.000	10797.733	91.863
69.000	11564.733	120.365
72.000	11606.733	98.532
75.000	10739.467	85.695
78.000	8879.533	91.785
81.000	6643.067	87.939
84.000	4223.333	55.224
87.000	2160.600	44.671
90.000	732.800	37.535
93.000	175.600	16.115
96.000	605.067	20.048
99.000	2011.267	42.350
102.000	4095.800	54.165
105.000	6413.800	60.635
108.000	8730.733	74.989
111.000	10601.133	148.142
114.000	11532.000	95.978
117.000	11545.333	84.849
120.000	10732.400	130.241
123.000	8961.733	82.590
126.000	6807.467	99.351
129.000	4318.733	87.048
132.000	2255.667	47.668
135.000	751.467	24.509
138.000	176.933	12.068
141.000	592.667	28.068
144.000	1885.400	35.924
147.000	3949.400	70.190
150.000	6185.267	113.876
153.000	8494.067	115.656
156.000	10192.667	165.537
159.000	11259.600	161.676
162.000	11285.000	111.615
165.000	10516.267	108.841
168.000	8764.067	120.667
171.000	6620.933	105.261
174.000	4361.467	74.880
177.000	2279.600	72.985
