#Sample	sample
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	9516.050	113.354
3.000	9591.400	99.946
6.000	9949.400	111.007
9.000	10419.600	121.740
12.000	11092.450	126.273
15.000	11686.800	104.089
18.000	12270.150	140.183
21.000	12615.150	170.135
24.000	12709.650	157.933
27.000	12549.250	125.161
30.000	12176.400	128.330
33.000	11716.050	134.640
36.000	11184.700	129.720
39.000	10733.950	125.272
42.000	10512.350	87.433
45.000	10506.850	139.142
48.000	10831.750	115.544
51.000	11471.450	147.853
54.000	12206.050	137.821
57.000	13093.850	138.572
60.000	13829.000	108.534
63.000	14341.900	138.450
66.000	14548.500	146.704
69.000	14404.650	185.345
72.000	14053.500	152.373
75.000	13451.050	120.971
78.000	12552.600	133.901
81.000	11739.700	121.679
84.000	10832.450	121.232
87.000	10208.900	108.752
90.000	9894.200	71.206
93.000	9930.450	98.461
96.000	10246.100	100.769
99.000	10817.900	112.604
102.000	11628.050	119.998
105.000	12489.950	125.187
108.000	13271.500	103.824
111.000	13969.600	126.392
114.000	14244.050	158.572
117.000	14237.750	176.933
120.000	13882.100	122.426
123.000	13261.400	155.757
126.000	12572.050	184.343
129.000	11849.350	110.095
132.000	11206.250	149.802
135.000	10887.250	136.097
138.000	10824.700	109.930
141.000	10941.600	136.453
144.000	11253.350	152.481
147.000	11630.900	152.550
150.000	12070.550	166.483
153.000	12405.550	154.373
156.000	12572.000	180.498
159.000	12435.150	139.197
162.000	12285.400	120.750
165.000	11828.950	109.141
168.000	11330.550	152.656
171.000	10777.450	124.543
174.000	10260.350	88.599
177.000	9935.700	109.998
