#Sample	WS2 test perpneg
#LaserPower (mW)	sample
#NumGates	20
#GateTime (ms)	100
Angle	CountsMean	CountsSTD
0.000	7436.500	94.654
3.000	6739.100	93.578
6.000	5302.550	67.180
9.000	3823.150	55.545
12.000	2779.300	65.265
15.000	2662.700	53.101
18.000	3415.200	59.101
21.000	4778.150	69.057
24.000	6129.850	65.294
27.000	7013.350	97.950
30.000	7082.250	88.401
33.000	6324.700	108.314
36.000	5182.250	74.394
39.000	4148.000	53.914
42.000	3863.700	70.738
45.000	4734.150	58.373
48.000	6744.900	80.181
51.000	9403.850	121.697
54.000	11827.850	94.788
57.000	13424.000	93.702
60.000	13560.700	115.298
63.000	12226.550	104.844
66.000	9942.650	108.289
69.000	7288.800	90.565
72.000	5158.400	66.581
75.000	4028.850	65.075
78.000	4188.200	76.341
81.000	5267.050	62.789
84.000	6620.550	81.254
87.000	7735.450	75.828
90.000	7996.050	106.580
93.000	7348.500	102.811
96.000	5954.950	91.139
99.000	4362.250	61.288
102.000	3190.400	53.031
105.000	2847.800	49.009
108.000	3430.050	74.559
111.000	4608.150	84.044
114.000	5841.800	105.664
117.000	6720.500	81.530
120.000	6823.750	123.854
123.000	6225.650	58.500
126.000	5195.800	94.501
129.000	4368.050	62.387
132.000	4358.100	59.830
135.000	5491.250	79.930
138.000	7591.900	98.801
141.000	10068.700	120.491
144.000	12502.900	83.546
147.000	13837.050	138.732
150.000	13589.300	120.998
153.000	12113.200	135.109
156.000	9729.000	109.677
159.000	7080.800	90.083
162.000	4966.550	84.996
165.000	3937.550	50.470
168.000	4055.750	70.407
171.000	5160.950	76.034
174.000	6467.200	109.745
177.000	7443.750	72.284
